Section,Detail
FORMULA,Impact (incl-VAT) = (New Annual - Previous Annual) x (Days Remaining in Term / Total Term Days)
KEY RULE,Specialist coverages (CAR/PAR/EAR/Travel/Med-Mal/Machinery/PI/Marine-D&O/Marine-Once-Off/Marine-Open) store ANNUAL premium. Factor uses TERM days (typically 365) NOT per-frequency cycle.
VAT SPLIT,Excl-VAT = Impact_incl / 1.14   |   VAT = Impact_incl x 0.14 / 1.14
CONVENTION,All BWP amounts INCLUSIVE of VAT (canonical). Negative = customer refund. Positive = additional charge. Cancel rows ALWAYS produce a negative pro_rate_premium per feedback_cancel_prorata_always_negative.
SCOPE,Separate from COM/DOM. Motor untouched. CFO-approved 2026-05-25 for newDays/totalDays factor across all 10 coverages.
SOURCE,backend/app/Services/SpecialistEndorse/SpecialistEndorseCalculator.php::writeProRata + PolicyAction::calculatePremiumEndorse
PREMIUM COLUMN MAP,,,,,,,,,,,,,,,,,,
car_coverages,section1_total_premium + section2_total_premium + section3_total_premium,,,,,,,,,,,,,,,,,
par_coverages,total_premium / section2_total_premium,,,,,,,,,,,,,,,,,
ear_coverages,total_premium / section1_total_premium / section3_total_premium,,,,,,,,,,,,,,,,,
travel_coverages,policy_amount,,,,,,,,,,,,,,,,,
medical_malpractice_coverages,annual_premium (primary) / premium (fallback),,,,,,,,,,,,,,,,,
machinery_breakdown_coverages,premium,,,,,,,,,,,,,,,,,
professional_indemnity_coverages,premium,,,,,,,,,,,,,,,,,
marine_directors_officers_coverages,premium (primary) / annual_premium (fallback),,,,,,,,,,,,,,,,,
marine_cargo_once_off_coverages,premium,,,,,,,,,,,,,,,,,
marine_cargo_open_coverages,premium (DECLARATION-BASED — verify with CFO if mid-term endorse applies),,,,,,,,,,,,,,,,,
,
Test ID,Product,Endorse Type,Scenario,Term Start,Term End,Term Days,Endorse Effective,Days Remaining,Pro-rata Factor,Prev Annual (incl VAT) BWP,New Annual (incl VAT) BWP,Annual Delta BWP,Calculation,Impact Incl-VAT BWP,Impact Excl-VAT BWP,VAT 14% BWP,Type,UW Note
,
=== CAR (Contractors All Risk) ===,,,,,,,,,,,,,,,,,,
CAR1,CAR,SI Increase,Increase section1 SI on building project,2026-01-01,2026-12-31,365,2026-04-01,275,0.75342,12000.00,15000.00,3000.00,3000 x (275/365),2260.27,1982.69,277.58,CHARGE,Section1 main coverage uplift
CAR2,CAR,Section3 Add,Add increased cost-of-working,2026-01-01,2026-12-31,365,2026-06-15,200,0.54795,12000.00,13500.00,1500.00,1500 x (200/365),821.92,720.99,100.93,CHARGE,Section3 add mid-term
CAR3,CAR,Cancel Coverage,Cancel CAR policy mid-term,2026-03-01,2027-02-28,365,2026-09-01,180,0.49315,18000.00,0.00,-18000.00,-18000 x (180/365),-8876.71,-7786.59,-1090.12,REFUND,Soft-delete row → pro_rate negative
CAR4,CAR,Section Downgrade,Remove section2 cover,2026-01-01,2026-12-31,365,2026-07-01,184,0.50411,15000.00,11500.00,-3500.00,-3500 x (184/365),-1764.38,-1547.70,-216.68,REFUND,Section2 removal mid-year
CAR5,CAR,NIL Endorsement,Project address change (no rating),2026-01-01,2026-12-31,365,2026-08-15,139,0.38082,12000.00,12000.00,0.00,0 x (139/365),0.00,0.00,0.00,NO IMPACT,Display-only endorse
,
=== PAR (Plant All Risk) ===,,,,,,,,,,,,,,,,,,
PAR1,PAR,SI Increase,New excavator added to schedule,2026-02-01,2027-01-31,365,2026-05-01,275,0.75342,8500.00,11200.00,2700.00,2700 x (275/365),2034.25,1784.43,249.82,CHARGE,total_premium uplift
PAR2,PAR,Section2 Add,Add transit cover,2026-01-01,2026-12-31,365,2026-04-15,261,0.71507,8500.00,9650.00,1150.00,1150 x (261/365),822.33,721.34,100.99,CHARGE,Section2 transit
PAR3,PAR,Cancel Coverage,Cancel PAR mid-term,2026-06-01,2027-05-31,365,2026-12-01,181,0.49589,10500.00,0.00,-10500.00,-10500 x (181/365),-5206.85,-4567.41,-639.44,REFUND,Soft-delete pc
